Key,"English Value","Kurdish Translation (کوردی)"
Profit_Loss_Title,"Profit & Loss",
Project,Project,
Projects,Projects,
Project_List,"Project List",
PromotionEnd,"Promotion End",
PromotionPrice,"Promotion Price",
PromotionStart,"Promotion Start",
Provider_Credit_Note,"Provider Credit Note",
Provider_details,"Provider details",
Province,Province,
Pull_From_Woo,"Pull from WooCommerce",
Purchase,Purchase,
PurchaseAlreadyPaid,"You cannot modify because this Purchase already paid",
PurchaseDetail,"Purchase Detail",
PurchaseInvoice,"Purchases payments",
Purchases,Purchases,
PurchasesInvoicesData,"Purchases payments data",
PurchasesManagement,"Purchases Management",
PurchasesReport,"Purchases Report",
PurchasesReturn,"Purchases Return",
Purchase_Cost,"Purchase Cost",
Purchase_Date,"Purchase Date",
Purchase_Info,"Purchase Info",
Purchase_Ref,"Purchase Ref",
Purchase_Return,"Purchase Return",
Purchase_Returns,"Purchase Returns",
Purchase_return_due,"Purchase return due",
Purchase_Tax,"Purchase Tax",
QR_Code,"QR Code",
Qty,Qty,
QtyAdded,"Qty added",
QtyBack,"Qty Back",
QtyMoved,"Quantity moved",
QtyPurchased,"Qty purchased",
QtyRemoved,"Qty removed",
qty_purchased,"Qty purchased",
Qty_return,"Qty return",
qty_return_is_greater_than_qty_purchased,"Qty return is greater than Qty purchased",
qty_return_is_greater_than_qty_sold,"Qty return is greater than Qty sold",
qty_return_is_greater_than_Quantity_Remaining,"Qty return is greater than Quantity Remaining",
Qty_sold,"Qty sold",
Quantity,Quantity,
Quantity_sold,"Qty sold",
QuickBooks,QuickBooks,
Quickbooks_Sync,"Quickbooks Sync",
QuickRanges,"Quick ranges",
QuotationComplete,"This Quotation Complete",
Quotations,Quotations,
QuotationsManagement,"Quotations Management",
Quotation_Ref,"Quotation Ref",
Quote,Quotation,
QuoteAlready,"This quote already has generate sale",
QuoteEmail,"Send Quotation on Email",
Quote_Info,"Quotation Info",
Read,Read,
Realm,Realm,
Realm_ID,"Realm ID",
Realm_ID_Hint,"Company ID (realmId). Optional—set automatically after connect. Only fill if you know it and want to lock to a specific company.",
Real_time_item_updates,"Real-time item updates",
Receipt,Receipt,
Received,Received,
Received_Amount,"Received Amount",
Recent_Drafts,"Recent Drafts",
Recent_Sales,"Recent Sales",
Recieved,Recieved,
Recommended,Recommended,
Recu,Received,
Redirect_URI,"Redirect URI",
Redirect_URI_active,"Redirect URI (active)",
Ref,Reference,
Reference,Reference,
Refresh,Refresh,
Refresh_List,"Refresh List",
Refresh_Stats,"Refresh Stats",
RegisterClosed,"Register closed successfully",
RegisterOpened,"Register opened successfully",
remaining_cycles,"remaining cycles",
Remaining_leave,"Remaining leave",
remaining_leaves_are_insufficient,"Remaining leaves are insufficient",
Remove,Remove,
Remove_Stripe_Key_Secret,"Delete Stripe API keys",
Report,Report,
Reports,Reports,
Reports_payments_Purchases,"Reports payments Purchases",
Reports_payments_Purchase_Return,"Reports Purchase Return Payments",
Reports_payments_Return_Customers,"Payments Return Customers",
Reports_payments_Return_Suppliers,"Payments Return Suppliers",
Reports_payments_Sales,"Reports payments Sales",
Reports_payments_Sale_Return,"Reports Sale Return Payments",
Report_Transactions,"Report Transactions",
Required,Required,
Reset,Reset,
Reset_Password,"Reset Password",
Reset_Sync_State,"Reset Sync State",
"Retail Price","Retail Price",
Retired,Retired,
Retournee,Return,
Retoursurcharge,"Return Surcharge",
Return,Return,
ReturnAlreadyPaid,"You cannot modify because this Return already paid",
ReturnDashboard,"Return to dashboard",
ReturnDetail,"Return Detail",
ReturnManagement,"Return Management",
Returns,Return,
ReturnsCustomers,"Returns Customer",
ReturnsInvoices,"Returns Invoices",
ReturnsInvoicesData,"Returns Invoices Data",
ReturnsSuppliers,"Returns Supplier",
Returns_Due,"Returns (Due)",
Return_exist_for_the_Transaction,"Return exist for the Transaction",
Return_Info,"Info of Return",
Return_Ratio_Report,"Return Ratio Report",
Return_Ref,"Return Ref",
Revenue,Revenue,
RoleDescription,"Role Description",
RoleName,Role,
Run_Manual_Sync_Now,"Run manual sync now",
Sale,Sale,
SaleAlreadyPaid,"You cannot modify because this Sale already paid",
SaleDetail,"Sale Detail",
Sales,Sales,
SalesInvoice,"Sales payments",
SalesInvoicesData,"Sales payments data",
SalesManagement,"Sales Management",
SalesReport,"Sales Report",
SalesReturn,"Sales Return",
Sales_by_Brand,"Sales by Brand",
Sales_by_Category,"Sales by Category",
Sales_Due,"Sales (Due)",
Sales_Grand,"Sales (Grand)",
Sales_Paid,"Sales (Paid)",
Sales_Tax,"Sales Tax",
Sales_today,"Today Sales",
Sale_Completed_Thank_You,"Sale Completed. Thank You!",
sale_note,"Sale Note",
Sale_Purchase_Ref,"Sale/Purchase Ref",
sale_ref,"Sale Ref",
Sale_Returns,"Sale Returns",
Sandbox_company_test_data,"Sandbox company (test data).",
saturday_in,"Saturday In",
saturday_out,"Saturday Out",
Save,Save,
"Save All Changes","Save All Changes",
Saved_Credit_Cards,"Saved Credit Cards",
Saved_Credit_Card_Info,"Saved Credit Card Info",
Saved_successfully,"Saved successfully",
Save_and_Close,"Save and Close",
Save_Mapping,"Save mapping",
Saving,Saving...,
Scan,Scan,
Scan_Barcode,"Barcode Scanner",
Scan_QR_to_open_display,"Scan this QR code to open the customer display on any device",
Scan_Search_Product_by_Code_Name,"Scan/Search Product by Code Or Name",
Scan_URL_with_your_camera,"Scan URL with your camera",
Scan_your_barcode_and_select_the_correct_symbology_below,"Scan your barcode and select the correct symbology below",
Search,Search,
SearchByCode,"Search by Code",
SearchByEmail,"Search By Email",
SearchByName,"Search by Name",
SearchByPhone,"Search by Phone",
SearchProduct,"Search Product",
Search_accounts,"Search accounts",
Search_Brands,"Search Brands",
Search_by_name_email_subject,"Search by name, email, or subject",
Search_by_name_SKU_or_ID,"Search by name, SKU, or ID",
Search_Categories,"Search Categories",
Search_payments_ph,"Search payments (Ref, date, method)",
Search_products,"Search products",
Search_Product_by_Code_Name,"Search Product by code or name",
Search_quotations_ph,"Search quotations (Ref, status, warehouse, customer)",
Search_returns_ph,"Search returns (Ref, status, payment status, sale ref, warehouse)",
Search_sales_ph,"Search sales (Ref, status, payment status, warehouse, customer)",
Search_this_table,"Search this table",
Search_unsynced_by_name_email,"Search unsynced by name/email...",
Secondary_Color,"Secondary color",
Security,Security,
SelectCustomer,"please Select Customer",
selected,selected,
SelectPeriod,"Select Period",
SelectProduct,"Select Product",
SelectSale,"Select Sale",
SelectWarehouse,"Please Select warehouse",
Select_Account,"Select account",
Select_Customer,"Select Customer",
Select_Employment_type,"Select Employment type",
Select_Type,"Select type",
Select_Warehouse,"Select Warehouse",
Seller,Seller,
Seller_report,"Seller Report",
SellPrice,"Sell price",
Sell_Return,"Sell Return",
Sell_return_due,"Sell return due",
SendEmail,"Email Send in successfully",
Sender_Name,"Sender Name",
Send_Email,"Send Email",
Send_Email_Receipt,"Send Email Receipt",
Send_SMS,"Send SMS",
Send_SMS_Receipt,"Send SMS Receipt",
Sent,Send,
SEO,SEO,
SEO_Description,"SEO description",
SEO_Title,"SEO title",
Serial,Serial,
ServiceProduct,"Service Product",
Settings,Settings,
Settings_saved_to_env,"Settings saved to .env",
Shipments,Shipments,
shipment_ref,"Shipment Ref",
Shipped,Shipped,
Shipping,Shipping,
Shipping_status,"Shipping Status",
ShortName,"Short Name",
ShowAll,"View all records of all Users",
Showing,Showing,
ShowPayment,"Show Payments",
Show_Address,"Show Address",
Show_barcode,"Show barcode",
Show_Customer,"Show Customer",
Show_Email,"Show Email",
Show_failures,"Show failures",
Show_Languages,"Show Languages",
Show_Note_to_customer,"Show Note to customer",
Show_Phone,"Show Phone",
Show_Tax_and_Discount,"Show Tax & Discount & Shipping",
Show_Warehouse,"Show warehouse",
SignIn,"Sign In",
SignUp,"Sign Up",
SiteConfiguration,"Site Configuration",
SiteName,"Site Name",
"Size guide","Size guide",
SKU,SKU,
Skype,Skype,
Slug,Slug,
sms_body,"SMS body",
SMS_Configuration,"SMS Configuration",
sms_config_invalid,"wrong sms config invalid",
sms_notification,"SMS notification",
sms_send_successfully,"Message sent successfully",
sms_settings,"Sms Settings",
sms_templates,"SMS Templates",
SMTPConfiguration,"SMTP Configuration",
SMTPIncorrect,"SMTP Configuration Incorrect",
Social_Links,"Social links",
Social_Media,"Social Media",
Some_warehouses,"Some Warehouses",
Source,Source,
StandardProduct,"Standard Product",
start_date,"Start date",
Start_typing_to_search,"Start typing to search",
Status,Status,
Status_Overview,"Status Overview",
Stock,Stock,
StockAdjustement,Adjustment,
StockAlert,"Stock Alert",
StockManagement,"Stock Management",
StockTransfer,"Stock Transfer",
StockTransfers,Transfer,
Stock_Adjustment_Report,"Stock Adjustment Report",
Stock_Aging_Report,"Stock Aging Report",
STOCK_ON_HAND,"STOCK ON HAND",
stock_report,"Stock Report",
Stock_Transfer_Report,"Stock Transfer Report",
Store,Store,
Store_Basics,"Store basics",
Store_Logo,"Store Logo",
Store_Name,"Store name",
Store_URL,"Store URL",
SubCategorie,"Sub Category",
Subject,Subject,
submit,Submit,
"Subscribed At","Subscribed at",
Subscribers,Subscribers,
Subscriptions,Subscriptions,
Subscription_details,"Subscription details",
Subscription_Product,"Subscription Product",
Subscription_status_updated_successfully,"Subscription status updated successfully",
SubTotal,Subtotal,
Subtraction,Subtraction,
Success,Success,
Successfully_Created,"Successfully Created",
Successfully_Generated_Count,"Successfully Generated",
Successfully_Imported,"Successfully Imported",
Successfully_Logged_In,"Successfully Logged In",
Successfully_Updated,"Successfully Updated",
Summary,Summary,
sunday_in,"Sunday In",
sunday_out,"Sunday Out",
Supplier,Supplier,
SupplierCode,"Supplier Code",
SupplierDetails,"Supplier Details",
SupplierName,"Supplier Name",
SupplierPaiementsReport,"Supplier Payments Report",
SupplierPurchasesReport,"Supplier Purchases Report",
SupplierReport,"Supplier Report",
Suppliers,Suppliers,
SuppliersManagement,"Suppliers Management",
SuppliersPaiementsReport,"Suppliers Payments Report",
SuppliersReport,"Suppliers Report",
Supplier_Info,"Supplier Info",
Supported_formats_JPG_PNG_GIF,"Supported formats: JPG, PNG, GIF",
Symbol,Symbol,
Sync,Sync,
Synced,Synced,
Synced_Categories,"Synced Categories",
Synced_Products,"Synced products",
Syncing,Syncing,
Syncing_Products,"Syncing products",
Sync_All_Clients,"Sync All Clients",
Sync_Categories,"Sync categories",
Sync_Completed,"Sync completed",
Sync_Failed,"Sync failed",
Sync_Interval,"Sync interval",
Sync_Only_Unsynced,"Sync only unsynced",
Sync_Orders,"Sync orders",
Sync_Products,"Sync products",
Sync_Selected,"Sync Selected",
Sync_selected_failed,"Sync selected failed",
Sync_Stock_Now,"Sync stock now",
SystemSettings,"System Settings",
Tag,Tag,
Tasks,Tasks,
Task_List,"Task List",
Tax,Tax,
Taxable_Base,"Taxable base",
Taxable_Purchases,"Taxable Purchases",
Taxable_Sales,"Taxable Sales",
TaxesOverTime,"Taxes Over Time",
TaxMethod,"Tax Type",
TaxName,"Tax Name",
TaxRate,"Tax Rate",
Tax_Collected,"Tax collected",
Tax_Number,"Tax Number",
Tax_Payable,"Tax payable to authorities",
Tax_Rate,"Tax rate",
Tax_Refund,"Tax refund expected",
Tax_Summary_Link,"Tax Summary",
Tax_Summary_Report,"Tax Summary Report",
Testing,Testing,
Test_Connection,"Test connection",
Thank_you_for_shopping_with_us,"Thank you for shopping with us",
Thank_you_for_your_business,"Thank you for shopping with us . Please come again",
Thank_you_for_your_purchase,"Thank you for your purchase!",
Theme_support_dark_light,"Dark and light theme support",
There_are,"There are",
The_module_must_be_uploaded_as_zip_file,"The module must be uploaded as zip file",
The_password_confirmation_does_not_match,"The password confirmation does not match",
ThisMonth,"This Month",
ThisToday,"This Today",
ThisWeek,"This Week",
ThisYear,"This Year",
This_password_reset_token_is_invalid,"This password reset token is invalid",
This_Product_Not_For_Selling,"This Product Not For Selling",
This_user_not_active,"This user not active",
This_Week_Sales_Purchases,"This Week Sales & Purchases",
thursday_in,"Thursday In",
thursday_out,"Thursday Out",
Time_In,"Time In",
Time_Out,"Time Out",
Time_Zone,"Time Zone",
Tip,Tip,
Tip_reorder_products_for_priority,"Tip: Reorder products to set their display priority.",
title,Title,
Title_and_Slug_required,"Title and Slug are required.",
to,To,
Today,Today,
Today_Sales,"Today Sales",
Toggle_to_show_on_home_and_use_arrows_to_reorder,"Toggle to show on home and use arrows to reorder",
Tokens_secure_time_limited,"Tokens are secure and time-limited",
Token_expired_A,"Generate a new token and update the display device with the new URL.",
Token_expired_Q,"Token expired?",
Token_expires_24h,"Each token expires automatically in 24 hours",
Top5Products,"Top 5 Products",
Topbar_and_Footer,"Topbar & footer",
Topbar_Text_Left,"Topbar text (left)",
Topbar_Text_Right,"Topbar text (right)",
TopCustomers,"Top 5 Customers",
TopRoutes,"Top routes",
TopSuppliers,"Top 5 Suppliers",
TopSuppliersByQty,"Top suppliers by quantity",
TopSuppliersByValue,"Top suppliers by value",
Top_customers,"Best customers",
Top_Selling_Products,"Top Selling Products",
Top_Suppliers_Report,"Top Suppliers Report",
Total,Total,
TotalAmount,"Total Amount",
TotalCost,"Total Cost",
TotalInflow,"Total Inflow",
TotalOutflow,"Total Outflow",
TotalPaid,"Total Paid",
TotalPaidExceedsGrandTotalForMultiPayment,"Total Paid Exceeds Grand Total",
TotalPaying,"Total Paying",
TotalProducts,"Total Products",
TotalPurchases,"Total Purchases",
TotalQuantity,"Total Quantity",
TotalReturn,"Total Return",
TotalReturns,"Total Returns",
TotalSales,"Total Sales",
TotalSpend,"Total spend",
Total_adjustments,"Total adjustments",
Total_Amount,"Total Amount",
Total_Amount_Paid,"Total Amount Paid",
Total_Cash,"Total Cash",
Total_Categories,"Total Categories",
Total_Cheque,"Total Cheque",
Total_Clients,"Total Clients",
Total_Credit,"Total Credit",
Total_Credit_Card,"Total Credit Card",
Total_Customers_Due,"Total Debt",
total_cycles,"total cycles",
Total_Debit,"Total Debit",
Total_Deposits,"Total Deposits",
Total_Discount,"Total discount",
Total_Expense,"Total Expense",
Total_Expenses,"Total Expenses",
Total_Income,"Total Income",
Total_Items_Quantity,"Total Items & Quantity",
Total_Payable,"Total Payable",
Total_Products,"Total products",
Total_Purchases,"Total Purchases",
Total_Purchase_Due,"Total Purchase Due",
Total_Purchase_Return_Due,"Total Purchase Return Due",
Total_quotations,"Total Quotations",
Total_return_purchases,"Total return purchases",
Total_return_sales,"Total return sales",
Total_Sales,"total sales",
Total_Sales_Amount,"Total Sales Amount",
Total_Sale_Due,"Total Sale Due",
Total_Sell_Return_Due,"Total Sell Return Due",
Total_Suppliers_Due,"Total Debt",
Total_transfers,"Total transfers",
ToWarehouse,"To Warehouse",
To_Account,"To Account",
Transaction_Summary,"Transaction Summary",
TransferDetail,"Transfer Detail",
Transfers,Transfers,
TransfersOverTime,"Transfers over time",
Transfers_Money,"Transfers Money",
"Translation added","Translation added",
"Translation updated","Translation updated",
Translations,Translations,
"Translations for","Translations for",
Trial_Balance_Link,"Trial Balance",
Trial_Balance_Subtitle,"Summarized debit/credit by account.",
Trial_Balance_Title,"Trial Balance",
Troubleshooting,Troubleshooting,
Tuesday_In,"Tuesday In",
tuesday_out,"tuesday Out",
TWILIO_SMS,"TWILIO SMS",
Twitter,Twitter,
type,Type,
Typical,Typical,
Unconverted,Unconverted,
Unit,Unit,
Unitcost,"Unit cost",
UnitPrice,"Unit Price",
UnitProduct,"Product Unit",
UnitPurchase,"Purchase Unit",
Units,Unit,
UnitSale,"Sale Unit",
UnitsPrchases,"Purchases Units",
UnitsSales,"Sales Units",
Unit_already_linked_with_sub_unit,"Unit already linked with sub unit",
Unknown,Unknown,
Unpaid,Unpaid,
Unread,Unread,
Unread_only,"Unread only",
Unsaved_changes_may_be_lost,"Unsaved changes may be lost",
Unsynced_Product_Count,"Unsynced product count",
Untitled,Untitled,
Updat,Update,
"Update Language","Update Language",
Updated,Updated,
Updated_in_successfully,"Updated in successfully",
UpdateProduct,"Update Product",
Update_Available,"Update Available",
Update_Log,"Update Log",
Update_Now,"Update Now",
Update_Payment,"Update Payment",
update_settings,Upgrade,
Update_Status,"Update status",
Uploaded,Uploaded,
Uploaded_Success,"Uploaded in successfully",
Upload_Module,"Upload Module",
"Use 2x for retina (e.g., 2400×1200).","Use 2x for retina (e.g., 2400×1200).",
Used_for_media_upload_fallback,"Used for media upload fallback",
User,User,
UserImage,"User Image",
UserManagement,"Users management",
username,Username,
UserPermissions,"Users Permissions",
Users,Users,
Users_Report,"Users Report",
User_report,"User Report",
Use_Saved_Credit_Card,"Use Saved Credit Card",
Use_search_to_add_products,"Use search to add products",
Use_This,"Use This",
Validation,Validation,
Value,Value,
ValueMoved,"Value moved",
Value_by_Cost_and_Price,"Value by Cost and Price",
VariableProduct,"Variable Product",
Variant,Variant,
VariantDuplicate,"This Variant Is Duplicate !!",
variants,Variants,
Variant_code,"Variant code",
Variant_cost,"Variant cost",
Variant_NAME,"Variant Name",
Variant_price,"Variant price",
VAT_Number,"VAT Number",
Vendors,Vendors,
View,View,
View_all,"View all",
View_Change_Log,"View Change Log",
View_Details,"View Details",
view_employee,"view employee",
View_Logs,"View logs",
Visible,Visible,
Visit_Online_Store,"Visit Online Store",
Waiting_for_Items,"Waiting for Items",
warehouse,Warehouse,
WarehouseIdentical,"The two warehouses cannot be identical !!",
Warehouses,Warehouse,
WarehouseStockChart,"Warehouse Stock Chart",
Warehouse_report,"Warehouses report",
Warning,Warning,
WarrantyTerms,"Warranty Terms",
Warranty_Guarantee_Tracking,"Warranty & Guarantee Tracking",
Warranty_Period,"Warranty Period",
wednesday_in,"Wednesday In",
wednesday_out,"Wednesday Out",
Welcome,Welcome,
Welcome_back_message,"Welcome back, {username}! Here's what's happening today.",
Welcome_to_your_Dashboard,"Welcome to your Dashboard",
We_cant_find_a_user_with_that_email_addres,"We can\'t find a user with that email addres",
We_have_emailed_your_password_reset_link,"We have e-mailed your password reset link",
WhatsApp,WhatsApp,
When,When,
Wholesale_Price,"Wholesale Price",
WooCommerce,WooCommerce,
WooCommerce_Settings,"WooCommerce Settings",
WooCommerce_to_POS,"WooCommerce to POS",
Woo_ID,"Woo ID",
Work_Duration,"Work Duration",
WP_Application_Password_Optional,"WP Application Password (Optional)",
WP_Username_Optional,"WP Username (Optional)",
Years,Years,
Yes,Yes,
Your_Password_has_been_changed,"Your Password has been changed",
You_already_have_the_latest_version,"You already have the latest version",
you_are_not_authorized,"Sorry! you are not authorized.",
You_cannot_delete_the_default_language,"You cannot delete the default language",
You_cant_edit_or_remove_default_payment_choices,"You can\'t edit or remove default payment choices",
You_will_find_your_backup_on,"You will find your backup on",
YTD,"Year to date",
ZeroPardefault,"You can delete the item or set the quantity returned to zero if it is not returned",
Zero_Sales_Products_Report,"Zero Sales Products Report",
Zero_total_no_payment_required,"Zero total no payment required",
ZipCode,"Zip Code",
Zip_code,"Zip code",
