Key,English Value,Kurdish Translation
New_Collection,New Collection,کۆمەڵەیەکی نوێ
New_Customer,New Customer,کڕیاری نوێ
Nexmo_SMS,Nexmo SMS,NEXMO SMS
Next,Next,داهاتوو
next_billing_date,next billing date,ڕۆژی داهاتووی فەسڵکردن
No,No,نەخێر
No changes to save,No changes to save,هیچ گۆڕانکارییەک نییە بۆ پاشەکەوتکردن
NodataAvailable,No data Available,هیچ زانیارییەک لەبەردەستدا نییە
None,None,هیچ
Note,Note,تێبینی
notes,Notes,تێبینیەکان
Note_to_customer,Note to customer,تێبینی بۆ کڕیار
Note_update,"Make sure you backup your Current version & database before you run the Upgrade , To restore it if there is an error","دڵنیابە کە تۆ پاشەکەوتت لە وەشانی ئێستات & بنکەدراوەی خۆت پێش ئەوەی Upgrade جێبەجێ بکەیت , بۆ گەڕاندنەوەی ئەگەر هەڵەیەک هەبوو"
NotFound,Page not found.,پەیج نەدۆزرایەوە.
Notice,Notice,تێبینی
Notification_Client,Notification Client,ئاگادارکردنەوە مشتەری
Notification_Supplier,Notification Supplier,دابینکەری ئاگادارکردنەوە
notification_template,Notification Template,قاڵبی ئاگادارکردنەوە
Not_Available,Not available,بەردەست نییە
Not_Balanced,Not balanced,هاوسەنگ نییە
Not_connected_to_QuickBooks,Not connected to QuickBooks.,پەیوەندی بە QuickBooksەوە نییە.
Not_Started,Not Started,دەست پێ نەکەیت
Not_Synced,Not synced,هاوئاهەنگ نە
No_actions_available,No actions available,هیچ کردارێک لەبەردەستدا نییە
No_clients_were_synced,No clients were synced,هیچ کڕیارێک هاوکات نەکرا
No_dashboard_permission,You don't have permission to view the dashboard.,تۆ مۆڵەتت نییە بۆ بینینی داشبۆردەکە.
No_items,No items,هیچ بابەتێک نییە
No_message_selected,No message selected,هیچ نامەیەک هەڵنەبژێردرا
no_name,no name,بێ ناو
No_products_in_collection_yet,No products in this collection yet,هێشتا هیچ بەرهەمێک لەم کۆمەڵەیەدا نییە
No_results,No results,هیچ ئەنجامێک نییە
No_Token_Generated_Yet,No Token Generated Yet,هیچ تۆکنێک دروست نەکراوە
Num,N°,N°
Number,Number,ژمارە
Occurred_At,Occurred At,لە
Of,of,لە
Office_Shift,Office Shift,شۆفتی ئۆفیس
Old_tokens_invalid_immediately,Old tokens become invalid immediately,یەکسەر تۆکنە کۆنەکان نادروست دەبن
OnHand,On hand,لە دەست
Online_Orders,Online Orders,داواکاری ئۆنلاین
Only_clients_without_quickbooks_customer_id_are_candidates,Only clients without quickbooks_customer_id (empty or null) are candidates.,تەنها ئەو مشتەرییانەی کە QuickBooks_Customer_ID (بەتاڵ یان پووچ) نین، کاندیدن.
Only_Unconverted,Only unconverted,تەنها نەگۆڕاو
On_Hold,On Hold,لە ڕاگرتن
oops,Oops! Page not found.,ئۆپس! پەیج نەدۆزرایەوە.
Open,Open,کردنەوە
Open Register,Open Register,تۆماری بکەرەوە
Opened,Opened,کرایەوە
Opening,Opening,کردنەوەی
OpeningStock,Opening Stock,کۆگای کردنەوەی
Opening_Balance,Opening Balance,کردنەوەی هاوسەنگی
Opening_Stock,Opening Stock,کۆگای کردنەوەی
Open_URL_on_display_device,Open the URL on your customer-facing display device,URLەکە بکەرەوە لەسەر ئامێری پیشاندانی ڕووبەڕووی کڕیارەکەت
Operation,Operation,کردە
OperationValue,Operation Value,بەهای کارکردن
Operation_Failed,Operation failed,ئۆپەراسیۆنەکە شکستی هێنا
Operation_failed_try_again,Operation failed. Please try again.,ئۆپەراسیۆنەکە شکستی هێنا. تکایە دووبارە هەوڵبدەرەوە.
Operator,Operator,ئۆپەراتۆر
Options,Options,هەڵبژاردنەکان
Order,Order,فەرمان
Ordered,Ordered,داواکراوە
Orders,Orders,داواکاری
OrdersManager,Orders Management,بەڕێوەبردنی داواکاری
OrderStatistics,Sales Statistics,ئاماری فرۆشتن
OrderTax,Order Tax,داواکاری باج
Order_cancelled,Order cancelled,داواکاری هەڵوەشاوە
Order_confirmed,Order confirmed,داواکاری پشتڕاستکرایەوە
Order_confirmed_as_sale,Order confirmed as Sale :ref,داواکاری پشتڕاستکراوەتەوە وەک فرۆشتن :ref
Order_determines_display_priority,The order determines the display priority.,فەرمانەکە ئەولەویەتی پیشاندانی دیاری دەکات.
order_products,Order items,بابەتی داواکاری
Order_saved,Order saved.,داواکاری پاشەکەوتکراو.
Order_Summary,Order Summary,پوختەی داواکاری
Outbound,Outbound,ئاوتبۆند
Outflow,Outflow,Outflow
Output_Tax,Output Tax,باجی دەرچوون
Out_of_Stock,Out of stock,لە کۆگادا نەماوە
Overall_progress,Overall progress,پێشکەوتنی گشتی
Packed,Packed,پاکەت
Page,Page,پەیج
page_not_exist,Sorry! The page you were looking for doesn\'t exist.,ببوورە! ئەو لاپەڕەیەی کە تۆ بەدوایدا دەگەڕایت بوونی نییە.
page_title_suffix,Page title suffix,پاشگری ناونیشانی لاپەڕە
Page_total,Page total,کۆی گشتی لاپەڕەکان
Page_totals,Page totals,کۆی گشتی لاپەڕەکان
Paid,Paid,پارەی دا
PaiementsNet,Payments Net,پارەدانەکان
PaiementsReceived,Payments Received,پارەدانەکان وەرگیراون
PaiementsSent,Payments Sent,پارەدانەکان نێردراوە
Paper_size,Paper size,قەبارەی کاغەز
Parent,Parent,دایک و باوک
Parentcategorie,Parent category,پۆلی دایک و باوک
partial,Partial,بەشەکی
password,Password,نهێنوشە
Paste_value_exactly_as_in_app_keys,Paste the value exactly as shown in your app’s Development/Production keys.,
Pay,Pay,پارەدان
PayeBy,Paid By,پارە دەدرێت لەلایەن
Paying,Paying,پارەدان
Paying_Amount,Paying Amount,بڕی بڕە پارە
Paying_amount_is_greater_than_Grand_Total,Paying amount is greater than Grand Total,بڕی پارەدان زیاترە لە کۆی گشتی گەورە
Paying_amount_is_greater_than_Received_amount,Paying amount is greater than received amount,بڕی پارەدان زیاترە لە بڕی وەرگیراو
Paying_amount_is_greater_than_Total_Due,Paying amount is greater than Total Due,بڕی پارەدان زیاترە لە کۆی گشتی پێویست
Payment,Payment,پارەدان
Paymentchoice,Payment choice,هەڵبژاردنی پارەدان
PaymentComplete,Payment complete!,پارەدان تەواو!
PaymentMethod,Payment Method,شێوازی پارەدان
PaymentOption,Payment Option,بژاردەی پارەدان
Payments,Payments,پارەدان
PaymentsByMethod,Payments By Method,پارەدان بە شێواز
PaymentsOverTime,Payments Over Time,پارەدان بە تێپەڕبوونی کات
PaymentsPurchases,Payments Purchases,کڕینی پارەدان
PaymentsReport,Payments Report,ڕاپۆرتی پارەدان
PaymentsReturns,Payments Returns,پارەدانەکان گەڕانەوە
PaymentsSales,Payments Sales,پارەدان فرۆشتن
PaymentStatus,Payment Status,دۆخی پارەدان
payments_Purchases_Return,Payments Purchases Return,پارەدانەکان گەڕانەوە گەڕانەوە
payments_Sales_Return,Payments Sales Return,گەڕانەوەی فرۆشتن
Payments_Total,Payments (Total),پارەدان (کۆی گشتی)
Payment_Breakdown,Payment Breakdown,شکاندنی پارەدان
Payment_Checkout,Payment Checkout,پشکنینی پارەدان
Payment_Date,Payment Date,بەرواری پارەدان
Payment_Gateway,Payment Gateway,دەروازەی پارەدان
Payment_Method,Payment Method,شێوازی پارەدان
Payment_Methods,Payment Methods,شێوازەکانی پارەدان
Payment_note,Payment Note,تێبینی پارەدان
Payment_Purchases,Payment Purchases,کڕینی پارەدان
Payment_Received,Payment Received,پارەدان وەرگیراوە
Payment_Ref,Payment Ref,REF REF
Payment_Sent,Payment Sent,پارەدان نێردراوە
Payment_Sent_Received,Payment Sent & Received,پارەدان نێردراوە و وەرگیراوە
Payment_Status,Payment Status,دۆخی پارەدان
payNow,Pay Now,ئێستا پارە بدە
Payroll,Payroll,مووچە
pay_all_purchase_due_at_a_time,pay all purchase due at a time,پارەی هەموو کڕینێک بدە لە یەک کاتدا
pay_all_purchase_return_due_at_a_time,pay all purchase return due at a time,هەموو ئەو گەڕانەوەیەی کڕین بدە کە لە یەک کاتدا دەدرێت
pay_all_sell_due_at_a_time,pay all sell due at a time,پارەی هەموو فرۆشتنێک بدە لە یەک کاتدا
pay_all_sell_return_due_at_a_time,pay all sell return due at a time,پارەی هەموو گەڕانەوەی فرۆشتن بدە کە لە یەک کاتدا دەدرێت
Pay_Due,Pay Due,مووچەی پێویست
Pending,pending,هەڵپەسێردراو
People,People,خەڵک
PeopleManager,People Management,بەڕێوەبردنی خەڵک
Perfect_for_showing_purchases,Perfect for showing customers their purchases,زۆر گونجاوە بۆ ئەوەی کڕینەکانیان پیشانی کڕیاران بدات
Period,Period,ماوە
PermissionsManager,Permissions Management,بەڕێوەبردنی مۆڵەتەکان
Per_page,Per page,بۆ هەر لاپەڕەیەک
Phone,Phone,تەلەفۆن
Please reload the page after saving translations to apply the changes.,Please reload the page after saving translations to apply the changes.,تکایە دوای پاشەکەوتکردنی وەرگێڕانەکان لاپەڕەکە دووبارە باربکەرەوە بۆ جێبەجێکردنی گۆڕانکارییەکان.
PleaseSelect,Please Select,تکایە هەڵبژێرە
PleaseSelectStatut,Please Select Status,تکایە دۆخەکە هەڵبژێرە
PleaseSelectSupplier,Please Select Supplier,تکایە دابینکەر هەڵبژێرە
PleaseSelectThesebeforeaddinganyproduct,Please Select These before adding any product,تکایە پێش زیادکردنی هەر بەرهەمێک ئەمانە هەڵبژێرە
PleaseSelectWarehouse,Please Select warehouse before choose any product,تکایە پێش هەڵبژاردنی هەر بەرهەمێک کۆگا هەڵبژێرە
Please_add_return_quantity,Please add return quantity,تکایە زیادکردنی بڕی گەڕانەوە
Please_connect_before_syncing_clients,Please connect before syncing clients.,تکایە پێش هاوکاتکردنی مشتەرییەکان پەیوەندی بکەن.
Please_enter_credit_card_details,Please enter credit card details,تکایە وردەکارییەکانی کارتی بانکیی بنووسە
Please_enter_points_to_convert,Please enter points to convert,تکایە خاڵەکان دابنێ بۆ گۆڕینی
Please_fill_the_Email_Adress,Please fill the Email Address,تکایە ناونیشانی ئیمەیڵەکە پڕبکەرەوە
Please_fill_the_form_correctly,Please fill the form correctly,تکایە فۆڕمەکە بە دروستی پڕبکەرەوە
Please_follow_the_import_instructions,Please follow the import instructions,تکایە ڕێنماییەکانی هاوردەکردن جێبەجێ بکە
Please_provide_any_details,Please provide any details,تکایە هەر وردەکارییەک
Please_select_Account,Please select an account,تکایە ئەکاونتێک هەڵبژێرە
please_select_purchase,Please Select Purchase,تکایە کڕین هەڵبژێرە
Please_Select_Sale,Please Select Sale,تکایە فرۆشتن هەڵبژێرە
Please_Upload_the_Correct_Module,Please Upload the Correct Module,تکایە مۆدیۆلی دروست بار بکە
Please_use_short_name_of_unit,Please use short name of unit,تکایە ناوی کورتی یەکە بەکاربهێنە
Please_Wait_for_the_update,Please Wait for the update to finish completely. It is not recommended to close the browser or stop a process Upgrade,تکایە چاوەڕێ بکەن تا نوێکارییەکە بە تەواوی تەواو دەبێت. پێشنیار ناکرێت کە وێبگەڕەکە دابخەیت یان بەرزکردنەوەی پرۆسەکە بوەستێنیت
Please_wait_until_the_product_is_loaded,Please wait until the product is loaded,تکایە چاوەڕوان بن تا بەرهەمەکە بار دەکرێت
pointofsaleManagement,Point of Sale Management,بەڕێوەبردنی خاڵەکانی فرۆشتن
pointofsales,Point of Sales,خاڵی فرۆشتن
Points_Balance,Points Balance,هاوسەنگی خاڵەکان
Points_Earned,Points Earned,خاڵەکانی بەدەست هێنراو
Points_Redeemed,Points Redeemed,خاڵەکان Redeeded
PopularTendered,Popular Tendered,بەناوبانگ پێشکەش کراوە
PORT,MAIL_PORT,mail_port
pos.Add_to_cart,Add to cart,زیادکردن بۆ سەبەتە
pos.All_Brands,All Brands,هەموو براندەکان
pos.All_Categories,All Categories,هەموو پۆلەکان
pos.Available_Products,Available Products,بەرهەمە بەردەستەکان
pos.Checkout,Checkout,چێک ئاوت
pos.Clear_all_items,Clear all items,هەموو شتەکان پاک بکەرەوە
pos.Complete_and_process_payment,Complete and process payment,پارەدان تەواو و پرۆسێس بکە
pos.Decrease,Decrease,کەم کردنەوە
pos.Discount,Discount,داشکان
pos.Drafts_list,Drafts list,لیستی ڕەشنووسەکان
pos.Edit,Edit,بژارکردن
pos.Go_to_page,Go to page,بڕۆ بۆ پەیج
pos.Grand_Total,Grand Total,گراند تۆتال
pos.Hold,Hold,ڕاگرتن
pos.Hold_this_sale,Hold this sale,ئەم فرۆشتنە ڕابگرە
pos.Home,Home,ماڵەوە
pos.Increase,Increase,زیادکردن
pos.items,items,کەرەستەکان
pos.Next_Page,Next page,لاپەڕەی داهاتوو
pos.No_items_added,No items added,هیچ بابەتێک زیاد نەکراوە
pos.No_products_found,No products found,هیچ بەرهەمێک نەدۆزرایەوە
pos.Page,Page,پەیج
pos.Pay_Now,Pay Now,ئێستا پارە بدە
pos.Previous_Page,Previous page,لاپەڕەی پێشوو
pos.Processing,Processing...,پرۆسێسکردن...
pos.products,products,بەرهەمەکان
pos.Recent_Drafts,Recent Drafts,ڕەشنووسەکانی ئەم دواییە
pos.Remove,Remove,لابردن
pos.Reset,Reset,ڕێستکردنەوە
pos.Saving,Saving...,پاشەکەوتکردن...
pos.Select_products_from_right_panel,Select products from the right panel,بەرهەمەکان لە پانێڵی ڕاستەوە هەڵبژێرە
pos.Shipping,Shipping,ناردن
pos.Subtotal,Subtotal,کۆی گشتی
pos.Tax,Tax,باج
pos.Total_Payable,Total Payable,کۆی گشتی پارەدان
pos.will_be_applied,will be applied,جێبەجێ دەکرێت
Position,Position,شوێن
Post,Post,پۆست
Posted_Successfully,Posted successfully,بە سەرکەوتوویی پۆست کراوە
Post_Failed,Post failed,پۆستەکە شکستی هێنا
Pos_Settings,POS Settings,ڕێکخستنەکانی POS
POS_to_Woo,POS to WooCommerce,POS بۆ WooCommerce
POS_to_WooCommerce,POS to WooCommerce,POS بۆ WooCommerce
Prev,Prev,پێشتر
Preview,Preview,پێشبینی
Price,Price,نرخ
Price_below_min_not_allowed,Price below min not allowed,نرخ لە خوارەوە ڕێگە پێنەدراوە کەمترین
Price_Per_Cycle,Price Per Cycle,نرخ بۆ هەر خولێک
Price_Per_Unit,Price Per Unit,نرخ بۆ هەر یەکەیەک
PricingAndTax,Pricing And Tax,نرخ و باج
Primary_Color,Primary color,ڕەنگی سەرەکی
print,Print,چاپ
Printbarcode,Print Labels,چاپی لیبێڵەکان
ProblemCreatingThisInvoice,There was a problem creating this Invoice. Please try again,کێشەیەک هەبوو لە دروستکردنی ئەم فاکتورەیە. تکایە دووبارە هەوڵبدەرەوە
ProblemPayment,There was a problem Payment. Please try again.,پارەیەکی کێشەدار هەبوو. تکایە دووبارە هەوڵبدەرەوە.
Processing,Processing...,پرۆسێسکردن...
Product,Product,بەرهەم
ProductCode,Code,کۆد
ProductCodeName,Product (Code - Name),بەرهەم (کۆد - ناو)
ProductCost,Product Cost,تێچووی بەرهەم
ProductDetails,Product Details,وردەکارییەکانی بەرهەم
ProductHasMultiVariants,This Product Has Multi Variants,ئەم بەرهەمە چەندین جۆری هەیە
ProductHasPromotion,Product Has Promotion,بەرهەم هەیە Promotion
ProductImage,Product Image,وێنەی بەرهەم
Production,Production,بەرهەم هێنان
ProductManagement,Product Management,بەڕێوەبردنی بەرهەم
ProductName,Product Name,ناوی بەرهەم
ProductPrice,Product Price,نرخی بەرهەم
ProductQuantityAlerts,Product Quantity Alerts,ئاگادارکردنەوەی بڕی بەرهەم
Products,Products,بەرهەمەکان
ProductsExpired,Products Expired,بەرهەمەکان بەسەرچوو
productsList,All Products,هەموو بەرهەمەکان
ProductSummary,Product Summary,پوختەی بەرهەم
Products_in_Collection,Products in Collection,بەرهەمەکان لە کۆکردنەوە
products_refunded_alert,Any products with a quantity set to 0 won\'t be refunded,هەر بەرهەمێک کە بڕی دانرابێت بۆ 0 Won\'t دەگەڕێتەوە
ProductTax,Product Tax,باجی بەرهەم
ProductVariant,Product Variant,جۆری بەرهەم
Product_Cost,Product Cost,تێچووی بەرهەم
Product_Has_Imei_Serial_number,Product Has Imei/Serial Number,
product_name,Product Name,ناوی بەرهەم
Product_name_minimum_3_characters,Product name minimum 3 characters,ناوی بەرهەم کەمترین ٣ پیت
Product_Not_Found,Product Not Found,بەرهەم نەدۆزرایەوە
Product_purchases_report,Product purchases report,ڕاپۆرتی کڕینی بەرهەم
product_report,Products report,ڕاپۆرتی بەرهەمەکان
product_sales_report,Product sales report,ڕاپۆرتی فرۆشتنی بەرهەم
Professional_responsive_design,"Professional, responsive design",دیزاینی پیشەیی و وەڵامدەرەوە
profil,Profile,پرۆفایل
Profit,Profit,قازانج
ProfitandLoss,Profit and Loss,قازانج و زەرەر
Profit_Loss_Link,Profit & Loss,قازانج و زەرەر
Profit_Loss_Subtitle,Period performance overview.,تێڕوانینێکی گشتی بۆ ئەدای کارکردن.
Profit_Loss_Title,Profit & Loss,قازانج و زەرەر
Project,Project,پرۆژە
Projects,Projects,پڕۆژەکان
Project_List,Project List,لیستی پڕۆژەکان
PromotionEnd,Promotion End,کۆتایی پرۆمۆشن
PromotionPrice,Promotion Price,پرۆمۆشن نرخ
PromotionStart,Promotion Start,دەستپێکردنی پرۆمۆشن
Provider_Credit_Note,Provider Credit Note,تێبینی قەرزی دابینکەر
Provider_details,Provider details,وردەکارییەکانی دابینکەر
Province,Province,پارێزگا
Pull_From_Woo,Pull from WooCommerce,لە WooCommerce ڕابکێشە
Purchase,Purchase,کڕین
PurchaseAlreadyPaid,You cannot modify because this Purchase already paid,ناتوانی دەستکاری بکەیت چونکە ئەم کڕینەی پێشتر پارەی پێدراوە
PurchaseDetail,Purchase Detail,وردەکاری کڕین
PurchaseInvoice,Purchases payments,پارەدانی کڕین
Purchases,Purchases,کڕینەکان
PurchasesInvoicesData,Purchases payments data,داتاکانی پارەدان
PurchasesManagement,Purchases Management,بەڕێوەبردنی کڕینەکان
PurchasesReport,Purchases Report,ڕاپۆرتی کڕینەکان
PurchasesReturn,Purchases Return,کڕینەکان گەڕانەوە
Purchase_Cost,Purchase Cost,تێچووی کڕین
Purchase_Date,Purchase Date,بەرواری کڕین
Purchase_Info,Purchase Info,زانیاری کڕین
Purchase_Ref,Purchase Ref,REF REF
Purchase_Return,Purchase Return,گەڕانەوەی کڕین
Purchase_Returns,Purchase Returns,گەڕانەوەی کڕین
Purchase_return_due,Purchase return due,گەڕانەوەی کڕین Due
Purchase_Tax,Purchase Tax,باجی کڕین
QR_Code,QR Code,کۆدی QR
Qty,Qty,Qty
QtyAdded,Qty added,Qty زیادکرا
QtyBack,Qty Back,Qty Back
QtyMoved,Quantity moved,بڕی جووڵاو
QtyPurchased,Qty purchased,کڕدراو
QtyRemoved,Qty removed,Qty لابرا
qty_purchased,Qty purchased,کڕدراو
Qty_return,Qty return,Qty گەڕانەوە
qty_return_is_greater_than_qty_purchased,Qty return is greater than Qty purchased,گەڕانەوەی Qty زیاترە لە Qty کڕدراو
qty_return_is_greater_than_qty_sold,Qty return is greater than Qty sold,گەڕانەوەی Qty زیاترە لە Qty Sold
qty_return_is_greater_than_Quantity_Remaining,Qty return is greater than Quantity Remaining,Qty گەڕانەوە زیاترە لە بڕی ماوەتەوە
Qty_sold,Qty sold,Qty فرۆشرا
Quantity,Quantity,بڕ
Quantity_sold,Qty sold,Qty فرۆشرا
QuickBooks,QuickBooks,QuickBooks
Quickbooks_Sync,Quickbooks Sync,QuickBooks Sync
QuickRanges,Quick ranges,مەودای خێرا
QuotationComplete,This Quotation Complete,ئەم کۆتەیشنە تەواو بووە
Quotations,Quotations,وەرگێڕانەکان
QuotationsManagement,Quotations Management,بەڕێوەبردنی وەرگێڕان
Quotation_Ref,Quotation Ref,کۆتەیشن Ref
Quote,Quotation,وەرگرتن
QuoteAlready,This quote already has generate sale,ئەم کۆتەی پێشتر هەیە Sale ی هەیە
QuoteEmail,Send Quotation on Email,ناردنی وەرگێڕان لە ئیمەیڵ
Quote_Info,Quotation Info,زانیاری
Read,Read,خوێندنەوە
Realm,Realm,Realm
Realm_ID,Realm ID,Realm ID
Realm_ID_Hint,Company ID (realmId). Optional—set automatically after connect. Only fill if you know it and want to lock to a specific company.,ناسنامەی کۆمپانیا (Realmid). ئیختیارییە-دوای پەیوەندی بە شێوەیەکی ئۆتۆماتیکی ڕێکبخە. تەنها ئەگەر بزانیت پڕبکەرەوە و بتەوێت قفڵ بکەیت بۆ کۆمپانیایەکی دیاریکراو.
Real_time_item_updates,Real-time item updates,نوێکردنەوەی بابەتە لە کاتی ڕاستەقینەدا
Receipt,Receipt,ڕەچەتە
Received,Received,وەرگرت
Received_Amount,Received Amount,بڕی وەرگیراو
Recent_Drafts,Recent Drafts,ڕەشنووسەکانی ئەم دواییە
Recent_Sales,Recent Sales,فرۆشتنی ئەم دواییە
Recieved,Recieved,وەرگیرا
Recommended,Recommended,پێشنیاری کرد
Recu,Received,وەرگرت
Redirect_URI,Redirect URI,ئاڕاستەکردنەوە URI
Redirect_URI_active,Redirect URI (active),ئاڕاستەکردنی URI (چالاك)
Ref,Reference,سەرچاوە
Reference,Reference,سەرچاوە
Refresh,Refresh,نوێکردنەوە
Refresh_List,Refresh List,لیستی نوێکردنەوە
Refresh_Stats,Refresh Stats,نوێکردنەوەی ئامارەکان
RegisterClosed,Register closed successfully,تۆمارکردن بە سەرکەوتوویی داخراو
RegisterOpened,Register opened successfully,تۆمارکردن بە سەرکەوتوویی کرایەوە
remaining_cycles,remaining cycles,خولەکانی ماوەتەوە
Remaining_leave,Remaining leave,مۆڵەتی ماوەتەوە
remaining_leaves_are_insufficient,Remaining leaves are insufficient,گەڵاکانی ماوەتەوە بەس نین
Remove,Remove,لابردن
Remove_Stripe_Key_Secret,Delete Stripe API keys,سڕینەوەی کلیلی API
Report,Report,ڕاپۆرت
Reports,Reports,ڕاپۆرتەکان
Reports_payments_Purchases,Reports payments Purchases,ڕاپۆرتەکان کڕینی پارەدان
Reports_payments_Purchase_Return,Reports Purchase Return Payments,ڕاپۆرتەکان کڕینی گەڕانەوە پارەدان
Reports_payments_Return_Customers,Payments Return Customers,پارەدانەکان گەڕانەوەی کڕیاران
Reports_payments_Return_Suppliers,Payments Return Suppliers,پارەدانەکان دابینکەران
Reports_payments_Sales,Reports payments Sales,ڕاپۆرتەکانی پارەدان
Reports_payments_Sale_Return,Reports Sale Return Payments,ڕاپۆرتەکان فرۆشتن گەڕانەوەی گەڕانەوە
Report_Transactions,Report Transactions,ڕاپۆرتی مامەڵەکان
Required,Required,داواکراو
Reset,Reset,ڕێستکردنەوە
Reset_Password,Reset Password,وشەی نهێنی ڕێست بکەرەوە
Reset_Sync_State,Reset Sync State,دۆخی Sync Reset
Retail Price,Retail Price,نرخی تاکەکەسی
Retired,Retired,خانەنشین
Retournee,Return,گەڕانەوە
Retoursurcharge,Return Surcharge,پارەی زیادەی گەڕانەوە
Return,Return,گەڕانەوە
ReturnAlreadyPaid,You cannot modify because this Return already paid,تۆ ناتوانی دەستکاری بکەیت چونکە ئەم گەڕانەوەیە پێشتر پارەی پێدراوە
ReturnDashboard,Return to dashboard,گەڕانەوە بۆ داشبۆرد
ReturnDetail,Return Detail,وردەکاری گەڕانەوە
ReturnManagement,Return Management,بەڕێوەبردنی گەڕانەوە
Returns,Return,گەڕانەوە
ReturnsCustomers,Returns Customer,کڕیاری گەڕانەوە
ReturnsInvoices,Returns Invoices,گەڕانەوەی فاکتورەکان
ReturnsInvoicesData,Returns Invoices Data,داتاکانی فاکتورەکان دەگەڕێنێتەوە
ReturnsSuppliers,Returns Supplier,دابینکەری گەڕانەوە
Returns_Due,Returns (Due),گەڕانەوە (بەپێی)
Return_exist_for_the_Transaction,Return exist for the Transaction,گەڕانەوە بوونی هەیە بۆ مامەڵەکە
Return_Info,Info of Return,زانیاری لەسەر گەڕانەوە
Return_Ratio_Report,Return Ratio Report,ڕاپۆرتی ڕێژەی گەڕانەوە
Return_Ref,Return Ref,گەڕانەوەی REF
Revenue,Revenue,داهات
RoleDescription,Role Description,وەسفکردنی ڕۆڵ
RoleName,Role,ئەرک
Run_Manual_Sync_Now,Run manual sync now,ئێستا بە دەستی Sync جێبەجێ بکە
Sale,Sale,فرۆشتن
SaleAlreadyPaid,You cannot modify because this Sale already paid,تۆ ناتوانی دەستکاری بکەیت چونکە ئەم فرۆشتنە پێشتر پارەی داوە
SaleDetail,Sale Detail,وردەکاری فرۆشتن
Sales,Sales,فرۆشتن
SalesInvoice,Sales payments,پارەدانی فرۆشتن
SalesInvoicesData,Sales payments data,داتاکانی پارەدانی فرۆشتن
SalesManagement,Sales Management,بەڕێوەبردنی فرۆشتن
SalesReport,Sales Report,ڕاپۆرتی فرۆشتن
SalesReturn,Sales Return,گەڕانەوەی فرۆشتن
Sales_by_Brand,Sales by Brand,فرۆشتن بەپێی براند
Sales_by_Category,Sales by Category,فرۆشتن بەپێی پۆل
Sales_Due,Sales (Due),فرۆشتن (DUE)
Sales_Grand,Sales (Grand),فرۆشتن (گراند)
Sales_Paid,Sales (Paid),فرۆشتن (پارە)
Sales_Tax,Sales Tax,باجی فرۆشتن
Sales_today,Today Sales,ئەمڕۆ فرۆشتن
Sale_Completed_Thank_You,Sale Completed. Thank You!,فرۆشتن تەواو بوو. سوپاس!
sale_note,Sale Note,تێبینی فرۆشتن
Sale_Purchase_Ref,Sale/Purchase Ref,
sale_ref,Sale Ref,فرۆشتن Ref
Sale_Returns,Sale Returns,گەڕانەوەی فرۆشتن
Sandbox_company_test_data,Sandbox company (test data).,کۆمپانیای ساندبۆکس (زانیاری تاقیکردنەوە).
saturday_in,Saturday In,ڕۆژی شەممە لە
saturday_out,Saturday Out,ڕۆژی شەممە ئاوت دەرەوە
